trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-abr-historico-glue-trigger;sdlf-bigdata-abr-historico-glue-schedule;cron(30 17 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:29
sdlf-bigdata-billeteras-enrolamiento-wallet-glue-trigger;sdlf-bigdata-billeteras-enrolamiento-wallet-glue-schedule;cron(30 20 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:30
sdlf-bigdata-call-adquisicion-ga4-trigger;sdlf-bigdata-call-adquisicion-ga4-schedule;cron(00 04 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:31
sdlf-bigdata-call-sftp-sender-ctbl-base-trabajo-email-glue-trigger;sdlf-bigdata-call-sftp-sender-ctbl-base-trabajo-email-glue-schedule;cron(00 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;revisar;nombre schedule >64 chars (67): renombrar a mano;2026-09-02 13:05:18
sdlf-bigdata-call-sp-bases-cumpleanos-puntos-glue-trigger;sdlf-bigdata-call-sp-bases-cumpleanos-puntos-glue-schedule;cron(0 13 1 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-call-sp-camp-mail-tecnologia-spos-trigger;sdlf-bigdata-call-sp-camp-mail-tecnologia-spos-schedule;cron(0 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:32
sdlf-bigdata-call-sp-cptp-marca-captados-base-retail-trigger;sdlf-bigdata-call-sp-cptp-marca-captados-base-retail-schedule;cron(30 21 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:33
sdlf-bigdata-call-sp-ctbl-consolidado-listas-negras-trigger;sdlf-bigdata-call-sp-ctbl-consolidado-listas-negras-schedule;cron(0 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:35
sdlf-bigdata-call-sp-pff-actualizar-av-motor-mes-actual-trigger;sdlf-bigdata-call-sp-pff-actualizar-av-motor-mes-actual-schedule;cron(0 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:36
sdlf-bigdata-call-sp-pff-actualizar-sav-motor-mes-actual-trigger;sdlf-bigdata-call-sp-pff-actualizar-sav-motor-mes-actual-schedule;cron(0 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;revisar;nombre schedule >64 chars (65): renombrar a mano;2026-09-02 13:05:21
sdlf-bigdata-call-sp-tr-cliente-alto-valor-glue-trigger;sdlf-bigdata-call-sp-tr-cliente-alto-valor-glue-schedule;cron(15 18 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:37
sdlf-bigdata-camp-activacion-captacion-tc-cc-glue-trigger;sdlf-bigdata-camp-activacion-captacion-tc-cc-glue-schedule;cron(00 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:38
sdlf-bigdata-camp-cross-tamcc-glue-trigger;sdlf-bigdata-camp-cross-tamcc-glue-schedule;cron(00 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:39
sdlf-bigdata-camp-descansos-adq-diarios-glue-trigger;sdlf-bigdata-camp-descansos-adq-diarios-glue-schedule;cron(0 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba DEACTIVATED; schedule quedó DISABLED";2026-09-02 13:06:40
sdlf-bigdata-camp-reporte-funnel-contactabilidad-ppff-glue-trigger;sdlf-bigdata-camp-reporte-funnel-contactabilidad-ppff-glue-schedule;cron(0 15 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;revisar;nombre schedule >64 chars (67): renombrar a mano;2026-09-02 13:05:23
sdlf-bigdata-camp-rmkt-dap-glue-trigger;sdlf-bigdata-camp-rmkt-dap-glue-schedule;cron(00 17 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:41
sdlf-bigdata-camp-share-data-master-seguros-glue-trigger;sdlf-bigdata-camp-share-data-master-seguros-glue-schedule;cron(00 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:42
sdlf-bigdata-camp-sobregiro-45-glue-trigger;sdlf-bigdata-camp-sobregiro-45-glue-schedule;cron(00 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:43
sdlf-bigdata-camp-source-purge-msl-glue-trigger;sdlf-bigdata-camp-source-purge-msl-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:44
sdlf-bigdata-cbtl-email-autom-refactor-glue-trigger;sdlf-bigdata-cbtl-email-autom-refactor-glue-schedule;cron(30 10 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:45
sdlf-bigdata-clts-ahorro-opex-glue-trigger;sdlf-bigdata-clts-ahorro-opex-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:46
sdlf-bigdata-clts-marca-pan-anterior-glue-trigger;sdlf-bigdata-clts-marca-pan-anterior-glue-schedule;cron(12 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba CREATED; schedule quedó DISABLED";2026-09-02 13:06:47
