largo_schedule;trigger_name;schedule_name;estado_trigger;cron
79;sdlf-bigdata-sp-run-ppff-aceptacion-pop-up-cc-remunerada-captados-glue-trigger;sdlf-bigdata-sp-run-ppff-aceptacion-pop-up-cc-remunerada-captados-glue-schedule;ACTIVATED;cron(0 2,14 ? * * *)
79;sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-mujeres-c1c2c3-glue-trigger;sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-mujeres-c1c2c3-glue-schedule;ACTIVATED;cron(38 15 5 * ? *)
77;sdlf-bigdata-sp-ppff-actualizar-base_ofertas-pd-digital-periodo-glue-trigger;sdlf-bigdata-sp-ppff-actualizar-base_ofertas-pd-digital-periodo-glue-schedule;ACTIVATED;cron(00 15 * * ? *)
77;sdlf-bigdata-sp-clts-matriz-rentabilidad-retail-muijeres-c1c2c3-glue-trigger;sdlf-bigdata-sp-clts-matriz-rentabilidad-retail-muijeres-c1c2c3-glue-schedule;ACTIVATED;cron(00 4 5 * ? *)
75;sdlf-bigdata-sp-run-ctbl-consentimiento-vista-consentiemiento-glue-trigger;sdlf-bigdata-sp-run-ctbl-consentimiento-vista-consentiemiento-glue-schedule;ACTIVATED;cron(00 14 * * ? *)
74;sdlf-bigdata-sp-clts-matriz-rentabilidad-corp-mujeres-c1c2c3-glue-trigger;sdlf-bigdata-sp-clts-matriz-rentabilidad-corp-mujeres-c1c2c3-glue-schedule;ACTIVATED;cron(10 4 5 * ? *)
74;sdlf-bigdata-run_sp_cptp_seguimiento_vinculacion_abr_pat_cof-glue-trigger;sdlf-bigdata-run_sp_cptp_seguimiento_vinculacion_abr_pat_cof-glue-schedule;ACTIVATED;cron(30 14,19 * * ? *)
71;sdlf-bigdata-sp-dgtl-grupos-facturacion-tenencia-td-login-glue-trigger;sdlf-bigdata-sp-dgtl-grupos-facturacion-tenencia-td-login-glue-schedule;ACTIVATED;cron(0 19 * * ? *)
71;sdlf-bigdata-sp-ctbl-contactabilidad-capta-panel-integral-glue-trigger;sdlf-bigdata-sp-ctbl-contactabilidad-capta-panel-integral-glue-schedule;ACTIVATED;cron(00 14 1 * ? *)
71;sdlf-bigdata-sp-cptp-seguimiento-piloto-planes-presencial-glue-trigger;sdlf-bigdata-sp-cptp-seguimiento-piloto-planes-presencial-glue-schedule;ACTIVATED;cron(05 16,21 * * ? *)
68;sdlf-bigdata-sp-run-cptp-mov-cuenta-corriente-historia-glue-trigger;sdlf-bigdata-sp-run-cptp-mov-cuenta-corriente-historia-glue-schedule;ACTIVATED;cron(37 13 ? * * *)
68;sdlf-bigdata-sp-run-clts-cactivos-universo-adquisicion-glue-trigger;sdlf-bigdata-sp-run-clts-cactivos-universo-adquisicion-glue-schedule;ACTIVATED;cron(25 16 * * ? *)
68;sdlf-bigdata-sp-ppff-guarda-historico-segmento-consumo-glue-trigger;sdlf-bigdata-sp-ppff-guarda-historico-segmento-consumo-glue-schedule;ACTIVATED;cron(30 13 * * ? *)
68;sdlf-bigdata-sp-ctbl-reporte-data-contacto-adquisicion-glue-trigger;sdlf-bigdata-sp-ctbl-reporte-data-contacto-adquisicion-glue-schedule;ACTIVATED;cron(10 17 * * ? *)
68;sdlf-bigdata-cptp-adquisicion-funnel-presencial-cierre-glue-trigger;sdlf-bigdata-cptp-adquisicion-funnel-presencial-cierre-glue-schedule;ACTIVATED;cron(0 21 1-6 * ? *)
67;sdlf-bigdata-sp-run-ppff-obtencion-clientes-nuevoship-glue-trigger;sdlf-bigdata-sp-run-ppff-obtencion-clientes-nuevoship-glue-schedule;DEACTIVATED;cron(00 14 15 * ? *)
67;sdlf-bigdata-sp-run-cptp-adquisicion-tc-cc-activacion-glue-trigger;sdlf-bigdata-sp-run-cptp-adquisicion-tc-cc-activacion-glue-schedule;ACTIVATED;cron(0 21 ? * * *)
67;sdlf-bigdata-sp-run-camp-reporte-consolidado-campanas-glue-trigger;sdlf-bigdata-sp-run-camp-reporte-consolidado-campanas-glue-schedule;ACTIVATED;cron(35 11 ? * * *)
67;sdlf-bigdata-sp-ppff-guarda-historico-segmento-av-sav-glue-trigger;sdlf-bigdata-sp-ppff-guarda-historico-segmento-av-sav-glue-schedule;ACTIVATED;cron(30 13 * * ? *)
67;sdlf-bigdata-sp-clts-estrategias-evaluar-vencimientos-glue-trigger;sdlf-bigdata-sp-clts-estrategias-evaluar-vencimientos-glue-schedule;ACTIVATED;cron(00 15 ? * * *)
67;sdlf-bigdata-camp-reporte-funnel-contactabilidad-ppff-glue-trigger;sdlf-bigdata-camp-reporte-funnel-contactabilidad-ppff-glue-schedule;ACTIVATED;cron(0 15 ? * * *)
67;sdlf-bigdata-call-sftp-sender-ctbl-base-trabajo-email-glue-trigger;sdlf-bigdata-call-sftp-sender-ctbl-base-trabajo-email-glue-schedule;ACTIVATED;cron(00 9 * * ? *)
66;sdlf-bigdata-sp-total-clientes-variable-retira-onboarding-trigger;sdlf-bigdata-sp-total-clientes-variable-retira-onboarding-schedule;DEACTIVATED;cron(00 11 * * ? *)
66;sdlf-bigdata-sp-ppff-actualizar-sav-motor-mes-actual-glue-trigger;sdlf-bigdata-sp-ppff-actualizar-sav-motor-mes-actual-glue-schedule;ACTIVATED;cron(30 12-21 * * ? *)
66;sdlf-bigdata-sp-cptp-panel-directorio-cc-resumen-glue-job;sdlf-bigdata-sp-cptp-panel-directorio-cc-resumen-glue-job-schedule;ACTIVATED;cron(00 17 ? * WED *)
66;sdlf-bigdata-sp-cptp-aceptacion-pop-up-cc-remunerada-glue-trigger;sdlf-bigdata-sp-cptp-aceptacion-pop-up-cc-remunerada-glue-schedule;ACTIVATED;cron(05 18 * * ? *)
66;sdlf-bigdata-cptp-foto-tablon-adquisicion-inicio-mes-glue-trigger;sdlf-bigdata-cptp-foto-tablon-adquisicion-inicio-mes-glue-schedule;ACTIVATED;cron(15 14 11 * ? *)
65;sdlf-bigdata-sp-ctbl-build-consentimientos-datamart-glue-trigger;sdlf-bigdata-sp-ctbl-build-consentimientos-datamart-glue-schedule;ACTIVATED;cron(00 19 * * ? *)
65;sdlf-bigdata-sp-cptp-var-saldos-dap-ult-mes-cerrado-glue-trigger;sdlf-bigdata-sp-cptp-var-saldos-dap-ult-mes-cerrado-glue-schedule;ACTIVATED;cron(00 14 1,2,3 * ? *)
65;sdlf-bigdata-sp-cptp-aceptacion-pop-up-vinculadores-glue-trigger;sdlf-bigdata-sp-cptp-aceptacion-pop-up-vinculadores-glue-schedule;ACTIVATED;cron(0 16,20 * * ? *)
65;sdlf-bigdata-sp-clts-billeteras-enrolamientos-stock-glue-trigger;sdlf-bigdata-sp-clts-billeteras-enrolamientos-stock-glue-schedule;ACTIVATED;cron(10 4 * * ? *)
65;sdlf-bigdata-call-sp-pff-actualizar-sav-motor-mes-actual-trigger;sdlf-bigdata-call-sp-pff-actualizar-sav-motor-mes-actual-schedule;ACTIVATED;cron(0 12 ? * * *)
