trigger_original;schedule_en_aws;len_antes;len_despues;motivo_renombrado
sdlf-bigdata-acoustic-tables-datamaster-contact-list-glue-trigger;acoustic-tables-datamaster-contact-list-schedule;65;48;nombre >64 chars
sdlf-bigdata-call-sftp-sender-ctbl-base-trabajo-email-glue-trigger;call-sftp-sender-ctbl-base-trabajo-email-schedule;66;49;nombre >64 chars
sdlf-bigdata-call-sftp-sender-ctbl-contact-fonos-movil-glue-trigger;call-sftp-sender-ctbl-contact-fonos-movil-schedule;67;50;nombre >64 chars
sdlf-bigdata-call-sp-pff-actualizar-sav-motor-mes-actual-trigger;call-sp-pff-actualizar-sav-motor-mes-actual-schedule;64;52;nombre >64 chars
sdlf-bigdata-call219-mis-ingest-vcons-saldo-historico-vintage-glue-trigger;call219-mis-ingest-vcons-saldo-historico-vintage-schedule;74;57;nombre >64 chars
sdlf-bigdata-camp-reporte-funnel-contactabilidad-ppff-glue-trigger;camp-reporte-funnel-contactabilidad-ppff-schedule;66;49;nombre >64 chars
sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-mujeres-c1c2c3-glue-trigger;clts-matriz-rentabilidad-banco-retail-mujeres-c1c2c3-schedule;78;61;nombre >64 chars
sdlf-bigdata-clts-sp-seguimiento-cascadaruterocyber-glue-trigger;clts-sp-seguimiento-cascadaruterocyber-schedule;64;47;nombre >64 chars
sdlf-bigdata-cptp-adquisicion-funnel-presencial-cierre-glue-trigger;cptp-adquisicion-funnel-presencial-cierre-schedule;67;50;nombre >64 chars
sdlf-bigdata-cptp-foto-tablon-adquisicion-inicio-mes-glue-trigger;cptp-foto-tablon-adquisicion-inicio-mes-schedule;65;48;nombre >64 chars
sdlf-bigdata-data-extraction-fisa-brcf-calificadet-15:30-glue-trigger;data-extraction-fisa-brcf-calificadet-15-30-schedule;69;52;nombre >64 chars + caracter invalido ':'
sdlf-bigdata-data-extraction-fisa-tcap-vista-15:52-glue-trigger;sdlf-bigdata-data-extraction-fisa-tcap-vista-15-52-glue-schedule;63;64;caracter invalido ':'
sdlf-bigdata-data-extraction-fisa-tcap-vista-18:22-glue-trigger;sdlf-bigdata-data-extraction-fisa-tcap-vista-18-22-glue-schedule;63;64;caracter invalido ':'
sdlf-bigdata-data-extraction-fisa-tcli-persona-15:48-glue-trigger;data-extraction-fisa-tcli-persona-15-48-schedule;65;48;nombre >64 chars + caracter invalido ':'
