trigger_name;job_name;tipo;estado_glue;cron;clasificacion;Decision
sdlf-bigdata-transaccional-process-matinal-cierre-glue-trigger;sdlf-bigdata-cobranzas-monitoring-glue-job;SCHEDULED;DEACTIVATED;cron(40 11 1 * ? *);excluido: matinal;borrar
sdlf-bigdata-redshift-to-lake-cbz-ctbl-base-email-glue-trigger;sdlf-bigdata-redshift-to-lake-glue-job;SCHEDULED;ACTIVATED;cron(00 11 * * ? *);migrable;migrar
sdlf-bigdata-campanas-v2-step-1-trigger;sdlf-bigdata-01-insumos-captacion-express-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-3.6-trigger;sdlf-bigdata-01-insumos-pd-fiscalia-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-3.5.1-trigger;sdlf-bigdata-02-carga-de-casos-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-2-trigger;sdlf-bigdata-02-input-universo-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-tj-step-2-trigger;sdlf-bigdata-02-vu-tj-avance-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-3.4.1-trigger;sdlf-bigdata-03-01-variable-cadenitas-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-3.3-trigger;sdlf-bigdata-03-ejecucion-sp-universo-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-tj-step-3-trigger;sdlf-bigdata-03-estructura-motor-tj-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-3.4.3-trigger;sdlf-bigdata-03-pd-carga-ce-mod-prov-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-3.4.2-trigger;sdlf-bigdata-03-pd-segmentos-totales-ce-cadenita-todos-s1-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-4-trigger;sdlf-bigdata-04-codigo-fuente-campana-ce-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-5-trigger;sdlf-bigdata-05-salida-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-campanas-v2-step-6-trigger;sdlf-bigdata-06-estructura-motor-ce-glue-job;CONDITIONAL;ACTIVATED;;no migrable: CONDITIONAL;
sdlf-bigdata-acoustic-tables-datamaster-contact-list-glue-trigger;sdlf-bigdata-backup-acoustic-tables-glue-job;SCHEDULED;ACTIVATED;cron(00 6 * * ? *);migrable;migrar
sdlf-bigdata-camp-import-email-inhibir-wca-rev-glue-trigger;sdlf-bigdata-backup-acoustic-tables-glue-job;SCHEDULED;ACTIVATED;cron(00 6 * * ? *);migrable;migrar
sdlf-bigdata-camp-import-master-suppression-list-glue-trigger;sdlf-bigdata-backup-acoustic-tables-glue-job;SCHEDULED;ACTIVATED;cron(00 6 * * ? *);migrable;migrar
sdlf-bigdata-run-backup-tr-campana-glue-trigger;sdlf-bigdata-backup-acoustic-tables-glue-job;SCHEDULED;ACTIVATED;cron(00 6 * * ? *);migrable;migrar
sdlf-bigdata-backup-glue-jobs-glue-trigger;sdlf-bigdata-backup-glue-jobs-psh-glue-job;SCHEDULED;ACTIVATED;cron(00 12 * * ? *);migrable;migrar
sdlf-bigdata-bulk-dynamo-visita-tienda-glue-trigger;sdlf-bigdata-bulk-dynamo-visita-tienda-glue-job;SCHEDULED;ACTIVATED;cron(00 8 * * ? *);migrable;migrar
sdlf-bigdata-run-camp-source-purge-msl-glue-trigger;sdlf-bigdata-camp-purge-msl-glue-job;SCHEDULED;ACTIVATED;cron(00 14 * * ? *);migrable;migrar
sdlf-bigdata-export-datamaster-acoustic-glue-trigger;sdlf-bigdata-campaign-export-datamaster-acoustic-glue-job;SCHEDULED;ACTIVATED;cron(00 16 * * ? *);migrable;migrar
sdlf-bigdata-tracing-db-triggers-info-trigger;sdlf-bigdata-cdccyber-glue-job;SCHEDULED;ACTIVATED;cron(0 11 * * ? *);migrable;migrar
sdlf-bigdata-riesgo-sqlserver-to-lake-call219-glue-job;sdlf-bigdata-contcom-extractor-psh-glue-job;SCHEDULED;ACTIVATED;cron(0 0/1 * * ? *);migrable;migrar
sdlf-bigdata-cupones-adquisicion-glue-trigger;sdlf-bigdata-cupones-adquision-glue-job;SCHEDULED;ACTIVATED;cron(0 4 ? * * *);migrable;migrar
sdlf-bigdata-redshift-killer-glue-trigger;sdlf-bigdata-customer360-orchestation-psh-glue-job;SCHEDULED;ACTIVATED;cron(0/15 * * * ? *);migrable;migrar
sdlf-bigdata-data-extraction-fidens-vta-propuesta-glue-trigger;sdlf-bigdata-data-extraction-glue-job;SCHEDULED;ACTIVATED;cron(0 12-16,18,20,23 * * ? *);migrable;migrar
sdlf-bigdata-data-extraction-isonet-debito-glue-trigger;sdlf-bigdata-data-extraction-isonet-glue-job;SCHEDULED;ACTIVATED;cron(15 11 * * ? *);migrable;migrar
sdlf-bigdata-data-extraction-isonet-glue-trigger;sdlf-bigdata-data-extraction-isonet-glue-job;SCHEDULED;ACTIVATED;cron(00 11 * * ? *);migrable;migrar
sdlf-bigdata-data-ingestion-logs-hist-glue-trigger;sdlf-bigdata-data-ingestion-logs-hist-glue-job;SCHEDULED;ACTIVATED;cron(00 12 * * ? *);migrable;migrar
sdlf-bigdata-data-extraction-excrt2-glue-trigger;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(20 7 * * ? *);migrable;migrar
sdlf-bigdata-data-extraction-fisa-glue-trigger;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(15 9 * * ? *);migrable;migrar
sdlf-bigdata-data-extraction-segcom-hourly-glue-trigger;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(53 0,10-23 * * ? *);migrable;migrar
sdlf-bigdata-excrt2-retail-hourly-data-extraction-glue-job;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(50 0-7,10-22 * * ? *);migrable;migrar
sdlf-bigdata-wildcard-am-glue-trigger;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(15 9 * * ? *);migrable;migrar
